Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
16,7,6,2021,shopee_id, SAATNYA KUIS HEBOH SHOPEE   Sobat Shopee sekarang saatnya untuk KuHePee alias Kuis Heboh Shopee  Shopee yakin banget kamu pasti mau dong dapetin handphone GRATIS  Yuk langsung aja ikutan kuis ini dengan memasangkan alat makan dengan makanannya yang tepat Gampang banget dong  Jangan lupa juga ya untuk memenuhi beberapa syarat sebagai berikut 1 FOLLOW Instagram shopee_id 2 LIKE postingan ini 3 Tulis jawaban kamu di kolom komentar 4 Periode giveaway berlangsung hingga 9 Juni 2021 5 Satu orang akan kami pilih secara acak untuk menjadi pemenang dan memenangkan Samsung Galaxy A10s 6 KuHePee akan diumumkan pada tanggal 13 Juni 2021  Yuk langsung aja jawab di kolom komentar ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CP0CuoRh03H,12052,6811,giveaway
15,7,6,2021,shopee_id, DISKON SETIAP SENIN   Sobat Shopee Buat kamu yang suka belanja dan mau dapet DISKON spesial bisa banget nih  Dengan menggunakan Kartu Kredit BNI kamu bisa belanja dan dapetin Diskon hingga Rp100000  Langsung aja belanja dan gunakan kode voucher BNISENIN sekarang juga  Informasi lebih lanjut cek di sini  shopeecoidbnisenin  LIKE postingan ini kalau kamu udah siap belanja dan nikmati promonya  ShopeeID,https://www.instagram.com/p/CPz729mBogS,1495,50,Others
14,7,6,2021,shopee_id,Hai Sobat Shopee  Ada pilihan hadiah edisi VIVO nih buat kamu Pasti kamu mau dong kalo bisa dikasih HP Vivo gratis sama Shopee  Kamu mau pilih yang mana nih A B atau C Yuk langsung aja TAP 2X dan tulis pilihan kamu di kolom komentar ya supaya Shopee makin tau sama pilihan kamu  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPz08p7hKqT,17090,8839,Others
13,7,6,2021,shopee_id, UNDANG TEMEN BISA DAPAT BONUS 2 JUTA   Sobat Shopee Mau dapat bonus 2 Juta dari Shopee Caranya gampang banget loh Undang temen kamu untukk download aplikasi Shopee sekarang juga dan dapatkan bonus 2 Juta  Mantap kan Untuk baca selengkapnya langsung aja ke sini  shopeecoidbonusshopee2juta  YANG MAU DAPAT BONUS 2 JUTA JANGAN LUPA KOMEN DI BAWAH ShopeeID BonusShopee2Juta,https://www.instagram.com/p/CPzuesKBtp0,3718,346,Others
12,7,6,2021,shopee_id,Sobat Shopee Main tebak kata yuk  Kirakira kamu bisa gak nih menebak kata dari gambar clue yang udah Shopee kasih di atas Pasti bisa dong  Yuk langsung aja TAP 2X kalau kamu udah tau katanya dan tulis jawaban kamu di kolom komentar  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPznMiFBCSe,11809,3251,Others
11,7,6,2021,shopee_id,PROMO KHUSUS PENCINTA BINATANG   Sobat Shopee Punya binatang peliharaan Kepingin beli kebutuhannya Pas banget karena mulai dari HARI INI sampai dengan 10 Juni 2021 di Shopee ada Pet Festival Kamu bisa beli semua kebutuhan binatang peliharaan kamu dengan banyak PROMO Seperti DISKON sd 90 dari 65 toko dan pastinya juga ada Pawtastic Deals setiap pukul 1800  2100 WIB  Seru banget kan Yuk langsung mulai belanja di sini  shopeecoidmiipe2021  Kasih tau mimin di kolom komentar kamu punya binatang peliharaan apa ShopeeID,https://www.instagram.com/p/CPzgYv5Bvot,1779,55,Others
10,7,6,2021,shopee_id,Yuhuu Sobat Shopee  Choki butuh bantuan nih Coba kamu lihat Choki di atas kamu pasti tau dong kalo Choki lagi ngapain Nah kirakira benda mana nih yang dibutuhkan Choki untuk menggali tanah Gampang banget dong  Yuk yang tau langsung aja TAP 2X dan tulis jawavan kamu di kolom komentar Siapa tau nanti yang jawabannya benar bisa dikasih hadiah sama Choki  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPzZiwpBt54,12283,4249,Others
9,7,6,2021,shopee_id, CUCI GUDANG PERLENGKAPAN HOBI  RUMAH    Hai Sobat Shopee HARI INI di 66RumahHobiSale ada Cuci Gudang Day  Kamu bisa beli semua perlengkapan yang kamu butuhkan dengan banyak PROMO menarik Mulai dari Gratis Ongkir Xtra Murah Lebay hingga Extra Cashback 60  Mantap banget kan Langsung aja belanja dan nikmati promonya di sini  shopeecoid66  Komen MANTAP kalau kamu mau dapetin promo tambahan dari Shopee ShopeeID,https://www.instagram.com/p/CPzSrNzhvKn,2242,116,Others
14,6,6,2021,shopee_id,Yuhuu Sobat Shopee Ini yang paling ditunggutunggu Pengumuman pemenang mingguan KuHePee   RumahKuHobiKuWeek3  Berikut nama pemenang dan hadiahnya  1 31 Mei HITUNG EMOJI YANG BERBEDA Hadiah Samsung Galaxy A10s waynetjahpordjo  2 2 Juni TEMUKAN JALAN YANG TEPAT  Hadiah Xiaomi Mi TV 32 dewarap_  3 2 Juni PILIH HADIAH Hadiah Xiaomi Redmi 9C titin017  4 3 Juni TEMUKAN JALAN MENUJU SPEAKER OONTZ OONTZ Hadiah Oppo A54 rahmad_bask  5 4 Juni TEBAK WARNA KOTAK SHOPEE Hadiah Xiaomi Redmi 9C fahrezy_hasan  Berikut nama pemenang RumahKuHobiKuWeek3  Sofa Bed dede_cariu   Kasur springbed jaden_ang  Mesin Cuci azizzah93  iPhone 12 itayahrun_n  Untuk para pemenang akan kami hubungi segera Kami tunggu data kamu paling lambat 13 Juni ya Terima kasih untuk semua yang udah berpartisipasi Buat kamu yang belum beruntung jangan sedih karena masih banyak hadiah menarik yang menunggu kamu ShopeeID,https://www.instagram.com/p/CPxUO5ch9Yo,5094,326,Others
12,6,6,2021,shopee_id, JAMBORE SPESIAL PROMO PUNCAK   Yuhuu Sobat Shopee Spesial HARI INI kamu bisa belanja di Jam Belanja Hore dan nikmati Gratis Ongkir Rp0 SEMUA TOKO  Voucher Diskon sd 600RB Mantap banget kan Jangan sampai lewatkan PROMO EKSTRA ini dan untuk informasi lebih lanjut cek di sini  shopeecoid66peakday  TAP 2X kalau kamu masih semangat belanja HARI INI ShopeeID,https://www.instagram.com/p/CPxC1eAD-6J,4054,146,Others
