Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
15,7,6,2021,tokopedia,Kali aja ada yang butuh tips melembutkan mentega heheheh Kirakira mentega enaknya dicampur ke makanan apa ya  Boleh loh tipsnya dishare ke kerabat yang membutuhkan atau save jika kamu perlu sebagai catatan  Buat kamu yang lagi cari mentega di tokopedia juga ada banyak loh berbagai macam mentega ayo dibeli  Tokopedia Butter Smooth,https://www.instagram.com/p/CP0A2NThHaP,14664,1046,Others
15,7,6,2021,tokopedia,Menangkan BLACKPINK Official Light Stick Ver 2 Mau  Cara ikutannya 1 FOLLOW tokopedia dan LIKE postingan ini  2 Jawab pertanyaan di kolom komentar gunakan hashtag TokopehadiahBPJun1 dan mention 2 temen kamu CUKUP 1X POST  3 Satu 1 Pemenang yang terpilih akan mendapatkan BLACKPINK Official Light Stick Ver 2  4 Pemenang akan diumumkan tanggal 14 Juni 2021 di IG Story   NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway biar kesempatan menang lebih besar  TokopediaxBlackpink Blackpink GiveawayBlackpink blink giveawaykpop giveawaygiveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis,https://www.instagram.com/p/CPz7-TuB4P3,14173,1657,giveaway
12,7,6,2021,tokopedia,Ayo tentuin kamu tim yang mana Kalo Mia sih jujur bingung mau pilih yang mana andai bisa duaduanya   Langsung aja TAP gambar di atas dan gunakan hak pilihmu buat voting fashion influencer favoritmu   Hampir lupa kamu juga bisa mendapatkan Cashback 50 setelah voting loh    Mia duluan yaah Sampe ketemu di tempat voting   Fashion WaktuInfluencerBersaing InfluencerBersaing,https://www.instagram.com/p/CPzsiwVhMtH,3772,126,Others
15,6,6,2021,tokopedia,Wah kenapa tuh emangnya Hihihi  Yang udah baca jawaban di halaman ke 2 gimana perasaannya Toppers Sedih atau ketawa   Btw lagi ada diskon hingga 80  cashback hingga 300 ribu di Tokopedia Garage Biar perlengkapan motoran semakin kece tancap gas ke Tokopedia sekaranggg  TokopediaGarage SelaluAdaSelaluBisa,https://www.instagram.com/p/CPxaKI1hF5h,5725,237,Others
12,6,6,2021,tokopedia,HADIAH BISA KAMU MILIKI   Perhatikan siapa orang di dalam gambar ini   Cara ikutannya  1 Follow tokopedia dan tokopediacantik  2 Jawab di kolom komentar siapa dan kasih ulasan kenapa kamu ingin punya hadiah ini Jawab cukup SEKALI SAJA  3 Tambahkan hashtag TokopehadiahFoto serta tag 2 temen kamu di kolom komentar  4 1 satu pemenang yang terpilih akan mendapatkan Zhiyun SmoothX  5 Pemenang akan diumumkan tanggal 28 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo gimbal content vlog,https://www.instagram.com/p/CPxFAYPB7eo,8197,484,giveaway
16,5,6,2021,tokopedia,LUCU dan ENAK YAAHH bantal baru Minto    Ini pas buat jadi dekorasi di kamar kamu buat potopoto atau buat jadi temen baru TAPI jangan dimakan yaa kayak Minto kemaren pas kelaperan    Yuks langsung aja beli di Tokopedia atau TAP gambar ini biar kembaran sama Minto   SelaluAdaSelaluBisa,https://www.instagram.com/p/CPu73Z1hRS3,17109,1706,Others
14,5,6,2021,tokopedia,HemmmApa sih rahasianya Ibuibu bisa tahu ini itu   Contohnya barusan aja Ibu Minto ngasih tau kalau mulai 7 Juni 2021 dari SeninJumat jam 14001500 WIB bakal ada Diskon Vaganza yang semua produknya Diskon 50 di Tokopedia Play   Udah gitu katanya di Diskon Vaganza itu juga ada tips dan trik seputar rumah tangga dan parenting Menarique yah Minto nonton bareng Ibu aaahhh    Ohiya jangan lupa follow Instagram tokopediaplay Minto sama Mia udah dong    TokopediaPlay DiskonVaganza RumahTangga Keluarga LiveShoppingIndonesia,https://www.instagram.com/p/CPur8Mgh3XV,8405,944,Others
13,5,6,2021,tokopedia,Mia abis dikasih tau kalo ada diskon hingga 90  Flash Sale serba Rp5Ribu di CantikFest langsung belanja gak pake basabasi   Sekalian Minto infoin lagi deh buat kamu semua kalo di CantikFest kamu bisa temuin semua kebutuhanmu mulai dari fashion beauty electronic home living sampai kebutuhan ibu dan bayi juga ada Langsung aja cari Cantik Fest di aplikasi Tokopedia dan belanja kebutuhanmu Cuss meluncurrr  TokopediaCantik Fashion Beauty,https://www.instagram.com/p/CPulNEVBTAj,7287,672,Others
17,4,6,2021,tokopedia,Besok pagi Minto mau belanja ke pasar buat masakmasak tapi supaya nggak salah belinya bantuin Minto kasih tau yang mana Kucai ya gaess Nanti buat 2 orang yang terpilih Minto kasih MAGIC COM YONG MA gratiss  Baca cara ikutannya dengan teliti  Jawab pertanyaan pada gambar dan sertakan alasanmu kenapa pengen banget hadiah ini   Cara ikutannya  1 Follow tokopedia dan tokopediaparents  2 Jawab pertanyaan dan tulis kenapa kamu pengen hadiah ini 1 akun cukup komentar SEKALI SAJA  3 Tambahkan hashtag TokopehadiahKucai serta tag 2 temen kamu di kolom komentar  4 2 dua Pemenang yang alasannya paling menarik bagi Minto akan mendapatkan MAGIC COM YONG MA  5 Pemenang akan diumumkan tanggal 18 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah foodprocessor kitchen bumbu giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo,https://www.instagram.com/p/CPshoitBXVX,29216,8202,giveaway
15,4,6,2021,tokopedia,Soresore santai di hari Jummat enaknya ngemilin buah Eh ngomongngomong soal buah Buah Buah ape yang suka minta maap  Tokopedia SelaluAdaSelaluBisa,https://www.instagram.com/p/CPsTDLDh8DX,13426,1221,Others
